Club,Description,Picture
 A. James Clark Scholars Program ,"Stevens is among an exclusive group of top universities selected by the Clark Foundation to implement the A. James Clark Scholars Program, the foundation’s signature academic initiative, combining engineering, business, leadership and community service.",
 Active Minds ,"Active Minds is a national nonprofit organization that empowers students to change the conversation and culture about mental health and suicide prevention. We raise awareness, share resources, and inspire action. ",https://se-images.campuslabs.com/clink/images/80fdef72-4d7c-40f5-b647-2f638eeff6549414c290-64cd-4f93-8623-321e2bc46ca0.png?preset=small-sq
 Alpha Epsilon Delta ,Alpha Epsilon Delta is a national health pre-professional honor society dedicated to recognizing and encouraging those committed to healthcare. The NJ-Beta chapter of AED was established in 1992 at Stevens Institute of Technology.,https://se-images.campuslabs.com/clink/images/3b3458dc-a85c-47ba-86e6-a40954c38161e9663bc2-2bfe-4f75-893b-b29b2a18cd51.png?preset=small-sq
 Alpha Eta Mu Beta ,AEMB is the Biomedical Engineering honor society. ,https://se-images.campuslabs.com/clink/images/75cce269-9995-4fce-acf2-d53544f66301729eba4c-8cf7-42a3-87be-47e85166dce4.jpg?preset=small-sq
" Alpha Phi Alpha Fraternity, Inc. ","Alpha Phi Alpha Fraternity, Inc. develops leaders, promotes brotherhood and academic excellence, while providing service and advocacy for our communities.",https://se-images.campuslabs.com/clink/images/246436e0-def8-4f8e-a21c-d4746cb96146d3e8fe48-9da7-4e05-8840-c1c8518f4fbf.png?preset=small-sq
 Alpha Phi Omega ,"Alpha Phi Omega (APO) is an international coed service fraternity founded on the principles of Leadership, Friendship, and Service. The Stevens chapter of Alpha Phi Omega—Theta Alpha—first existed in 1949 and was reintroduced to campus in 2000.",https://se-images.campuslabs.com/clink/images/de3a1e47-df49-496d-b301-e712e39a4694b8fe9b25-55ba-4a6e-aa1a-a092cdfeccb0.png?preset=small-sq
 Alpha Phi Sorority ,"Alpha Phi is a sisterhood of outstanding women supporting one another in lifelong achievement.The sisterhood of Alpha Phi stretches from coast to coast through 170 collegiate campuses and more than 200,000 members. Sisters share a commitment to excelle..",https://se-images.campuslabs.com/clink/images/05f82867-ee54-4f71-be19-9a4fed05cd40fd8af91f-a5b0-4ddb-9b1e-78a1eeb93b69.png?preset=small-sq
 Alpha Sigma Phi ,"Alpha Tau of Alpha Sigma Phi Fraternity, Inc.",https://se-images.campuslabs.com/clink/images/fe5b61af-d7b9-42b8-969b-b64dfa9317ad47fbe6d7-ac2a-4a13-9bd5-bf84ecd44b43.jpeg?preset=small-sq
 American Chemical Society ,We are a professional society focused on the wonders of chemistry. We maintain a balance between professionalism and fun and welcome all majors! Join us for our fun &amp; informative events and meetings where we explore all aspects of the chemical sciences!,https://se-images.campuslabs.com/clink/images/54d9dc5e-bb69-48a1-99b0-fc259e8e5abdef3a6940-3964-4213-8224-aa4b452e7eb5.png?preset=small-sq
 American Institute of Chemical Engineers ,"The Stevens Student Chapter of AIChE exists as the medium that brings together all Stevens students pursuing a degree in Chemical Engineering, hosting general body meetings and events to promote students' professional development. ",https://se-images.campuslabs.com/clink/images/54efe24a-a417-4cef-b1d2-77821afb328e268a3d65-d79d-4507-b7c6-d602b8421833.png?preset=small-sq
